location_x,location_y,remaining_min,power_of_shot,knockout_match,remaining_sec,distance_of_shot,area_of_shot,shot_basics,range_of_shot,type_of_shot,type_of_combined_shot,home/away,lat/lng,game_season,is_goal
1.0,228.0,7.932084497957428,2.5,0.0,26.0,42.0,Center(C),Mid Range,16-24 ft.,shot - 37,shot - 3,MANU vs. LAC,"42.982923, -71.446094",2000-01,1.0
0.0,0.0,8.0,2.0,0.0,75.6,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 4,MANU vs. LAC,"42.982923, -71.446094",2005-06,1.0
0.0,0.0,28.1,2.0,54.304,5.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 1,MANU vs. LAC,"42.982923, -71.446094",2000-01,1.0
-33.0,108.0,2.0,2.0,0.0,2.0,31.0,Center(C),Goal Line,8-16 ft.,shot - 36,shot - 3,MANU vs. LAC,"42.982923, -71.446094",2000-01,0.0
0.0,0.0,6.932084497957428,3.0,43.80399999999999,32.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 4,MANU vs. LAC,"42.982923, -71.446094",2000-01,0.0
0.0,21.0,0.0,3.0,0.0,37.0,25.0,Center(C),Goal Line,Less Than 8 ft.,shot - 39,shot - 4,MANU vs. LAC,"42.982923, -71.446094",2000-01,0.0
121.0,26.0,0.0,3.0,0.0,1.0,32.0,Right Side(R),Mid Range,8-16 ft.,shot - 44,shot - 3,MANU vs. LAC,"42.982923, -71.446094",2000-01,1.0
231.0,57.0,8.0,1.0,51.9,17.0,43.0,Right Side(R),Right Corner,24+ ft.,shot - 21,shot - 3,MANU @ HOU,"29.740325, -95.365762",2000-01,0.0
0.0,0.0,7.0,1.0,0.0,49.6,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 4,shot - 3,MANU @ HOU,"29.740325, -95.365762",2000-01,1.0
0.0,0.0,7.0,1.0,0.0,1.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 1,MANU @ HOU,"29.740325, -95.365762",2000-01,1.0
0.0,0.0,7.0,2.0,0.0,28.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 4,MANU @ HOU,"29.740325, -95.365762",2000-01,1.0
51.0,57.0,2.0,2.0,0.0,20.0,27.0,Center(C),Mid Range,Less Than 8 ft.,shot - 0,shot - 3,MANU @ HOU,"29.740325, -95.365762",2000-01,0.0
16.0,57.0,9.0,3.0,0.0,5.0,22.5,Center(C),Goal Line,Less Than 8 ft.,shot - 1,shot - 3,MANU @ HOU,"29.740325, -95.365762",2000-01,0.0
-84.0,110.0,7.0,3.0,0.0,24.0,33.0,Left Side(L),Mid Range,8-16 ft.,shot - 36,shot - 3,MANU @ HOU,"29.740325, -95.365762",2000-01,0.0
-71.0,42.0,33.32,42.18,66.804,1.0,28.0,Left Side(L),Goal Line,8-16 ft.,shot - 2,shot - 3,MANU @ HOU,"29.740325, -95.365762",2000-01,0.0
30.0,133.0,5.0,38.18,0.0,1.0,33.0,Center(C),Goal Line,8-16 ft.,shot - 20,shot - 3,MANU @ HOU,"29.740325, -95.365762",2000-01,1.0
1.0,156.0,0.0,16.68,32.9,46.0,41.2,Center(C),Mid Range,8-16 ft.,shot - 39,shot - 3,MANU @ HOU,"29.740325, -95.365762",2000-01,0.0
132.0,211.0,11.0,1.0,0.0,41.0,44.0,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 15,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,0.0
-8.0,4.0,7.432084497957428,1.0,0.0,59.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 12,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,0.0
-29.0,188.0,4.932084497957428,1.0,0.0,54.0,39.0,Center(C),Mid Range,16-24 ft.,shot - 10,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,1.0
140.0,76.0,2.0,1.0,0.0,47.6,35.0,Right Side(R),Mid Range,8-16 ft.,shot - 39,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,1.0
140.0,0.0,1.0,49.68,0.0,48.0,34.0,Right Side(R),Mid Range,8-16 ft.,shot - 15,shot - 3,MANU @ SAS,"42.982923, -71.446094",2000-01,1.0
-1.0,156.0,1.0,1.0,36.464,36.6,35.0,Center(C),Mid Range,8-16 ft.,shot - 39,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,1.0
110.0,76.0,7.432084497957428,2.0,0.0,50.1,33.0,Right Side(R),Mid Range,8-16 ft.,shot - 39,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,0.0
132.0,87.0,9.0,2.0,33.304,37.0,35.0,Right Side(R),Mid Range,8-16 ft.,shot - 49,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,0.0
-58.0,251.0,3.0,34.18,41.4,50.0,50.2,Center(C),Penalty Spot,24+ ft.,shot - 39,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,1.0
-193.0,150.0,58.32,2.0,0.0,30.6,44.0,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 51,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,0.0
140.0,0.0,0.0,43.440161730841325,0.0,48.0,27.0,Right Side(R),Mid Range,8-16 ft.,shot - 39,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,1.0
0.0,9.0,50.6,3.0,0.0,13.0,24.0,Center(C),Goal Line,Less Than 8 ft.,shot - 39,shot - 3,MANU @ SAC,"29.444994, -98.524120",2000-01,0.0
24.0,150.0,9.0,3.0,0.0,72.8928,35.0,Center(C),Mid Range,8-16 ft.,shot - 0,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,0.0
-1.0,0.0,7.0,40.68,0.0,53.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 1,MANU @ SAS,"29.444994, -98.524120",2000-01,1.0
119.0,133.0,6.0,3.0,0.0,40.0,37.0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 54,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,1.0
119.0,19.0,3.0,3.0,0.0,0.0,32.0,Right Side(R),Mid Range,Less Than 8 ft.,shot - 15,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,0.0
-193.0,42.0,0.0,3.0,47.464,48.0,39.0,Left Side(L),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,0.0
-166.0,55.0,0.0,3.0,0.0,21.0,70.864,Left Side(L),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,0.0
24.0,116.0,10.0,4.0,0.0,39.0,31.0,Center(C),Goal Line,8-16 ft.,shot - 39,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,0.0
-65.0,156.0,26.32,16.68,0.0,4.0,36.0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,0.0
-166.0,26.0,6.0,4.0,0.0,25.0,36.0,Left Side(L),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,1.0
-58.0,76.0,5.0,4.0,0.0,14.0,29.0,Left Side(L),Goal Line,8-16 ft.,shot - 39,shot - 3,MANU @ SAS,"29.444994, -98.524120",2000-01,0.0
-94.0,188.0,11.0,1.0,0.0,9.0,41.0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 17,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2005-06,0.0
0.0,0.0,10.0,1.0,0.0,17.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 4,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2000-01,0.0
0.0,0.0,6.932084497957428,1.0,0.0,23.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 46,shot - 3,MANU @ SAC,"42.982923, -71.446094",2000-01,0.0
0.0,0.0,9.0,43.3,36.4,21.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 5,MANU @ SAC,"42.982923, -71.446094",2000-01,0.0
0.0,0.0,3.0,45.18,0.0,2.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 1,MANU vs. HOU,"42.982923, -71.446094",2005-06,1.0
0.0,0.0,51.32,1.0,0.0,22.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 4,MANU vs. HOU,"42.982923, -71.446094",2000-01,1.0
85.0,141.0,0.0,34.3,0.0,21.0,36.0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ SAC,"42.982923, -71.446094",2000-01,0.0
0.0,158.0,8.0,2.0,61.804,50.0,25.2,Left Side Center(LC),Mid Range,16-24 ft.,shot - 36,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2000-01,1.0
0.0,0.0,0.0,29.18,0.0,15.0,61.2,Center(C),Goal Area,Less Than 8 ft.,shot - 54,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2005-06,1.0
1.0,276.0,0.0,2.0,28.964,4.0,47.0,Center(C),Penalty Spot,Less Than 8 ft.,shot - 39,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2000-01,1.0
155.0,-8.0,8.0,3.0,0.0,38.0,35.0,Right Side(R),Mid Range,8-16 ft.,shot - 39,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2000-01,1.0
-155.0,13.0,5.0,3.0,0.0,18.0,27.5,Left Side(L),Mid Range,8-16 ft.,shot - 39,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2000-01,1.0
-84.0,133.0,4.0,3.0,0.0,34.0,35.0,Left Side(L),Mid Range,8-16 ft.,shot - 42,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2000-01,0.0
-178.0,-8.0,28.82,3.0,0.0,51.0,37.0,Left Side(L),Mid Range,16-24 ft.,shot - 12,shot - 3,MANU @ SAC,"42.982923, -71.446094",2000-01,0.0
16.0,89.0,3.0,3.0,0.0,40.0,29.0,Center(C),Goal Line,8-16 ft.,shot - 21,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2000-01,0.0
-48.0,106.0,3.0,17.8,0.0,16.5,31.0,Center(C),Goal Line,8-16 ft.,shot - 39,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2000-01,1.0
-119.0,133.0,38.3808,3.0,0.0,14.0,37.0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2005-06,0.0
9.0,40.0,10.0,3.5,0.0,86.3608,24.0,Center(C),Goal Line,Less Than 8 ft.,shot - 39,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2000-01,0.0
-84.0,82.0,6.0,4.0,0.0,34.0,66.7,Left Side(L),Mid Range,8-16 ft.,shot - 39,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2005-06,0.0
9.0,59.0,4.0,33.18,0.0,57.0,32.7,Center(C),Goal Line,Less Than 8 ft.,shot - 17,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2000-01,0.0
0.0,0.0,1.5,4.0,0.0,28.0,28.7,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 1,MANU vs. HOU,"42.982923, -71.446094",2000-01,1.0
9.0,59.0,1.0,4.0,0.0,38.0,25.0,Center(C),Goal Line,Less Than 8 ft.,shot - 44,shot - 3,MANU vs. HOU,"42.982923, -71.446094",2005-06,1.0
0.0,0.0,1.0,4.0,0.0,3.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 5,MANU vs. HOU,"42.982923, -71.446094",2005-06,0.0
0.0,0.0,7.0,1.0,0.0,43.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 4,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2000-01,0.0
0.0,0.0,3.0,1.0,0.0,8.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 1,MANU @ SAC,"42.982923, -71.446094",2000-01,1.0
129.0,-4.0,2.0,1.0,0.0,25.0,32.0,Right Side(R),Mid Range,8-16 ft.,shot - 39,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2000-01,1.0
-98.0,97.0,0.0,1.0,0.0,48.0,33.0,Left Side(L),Mid Range,8-16 ft.,shot - 0,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2000-01,1.0
167.0,78.0,11.0,29.68,50.9,16.0,29.0,Right Side(R),Mid Range,16-24 ft.,shot - 11,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2000-01,0.0
108.0,249.0,10.0,2.0,0.0,19.0,47.0,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 39,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2000-01,0.0
100.0,175.0,9.0,44.18,0.0,7.0,40.0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2000-01,1.0
0.0,0.0,1.0,2.0,0.0,54.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2005-06,0.0
0.0,0.0,20.75208449795743,2.0,0.0,28.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 4,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2000-01,0.0
115.0,169.0,10.0,3.0,0.0,23.0,40.0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2000-01,0.0
1.0,72.0,5.0,3.0,0.0,23.0,27.0,Center(C),Goal Line,Less Than 8 ft.,shot - 39,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2000-01,0.0
0.0,0.0,54.6,3.0,49.804,37.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 32,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2000-01,1.0
113.0,230.0,58.752084497957426,3.2601617308413218,0.0,43.0,45.0,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 39,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2000-01,1.0
0.0,0.0,10.0,4.0,0.0,28.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 4,MANU vs. DEN,"42.982923, -71.446094",2000-01,1.0
0.0,0.0,10.0,4.0,0.0,11.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 12,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2000-01,1.0
0.0,0.0,5.0,40.68,0.0,66.6,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 3,MANU vs. DEN,"42.982923, -71.446094",2000-01,0.0
98.0,194.0,11.0,1.0,0.0,65.1,41.0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 54,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,1.0
-117.0,184.0,58.752084497957426,19.18,0.0,7.0,41.0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,0.0
0.0,-2.0,8.0,48.18,0.0,53.0,36.0,Left Side(L),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,0.0
70.0,36.0,8.0,28.68,0.0,65.8928,27.0,Center(C),Goal Line,Less Than 8 ft.,shot - 39,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,0.0
0.0,0.0,7.0,10.18,0.0,43.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,shot - 4,MANU @ SAC,"38.567296, -121.456638",2000-01,0.0
-37.0,42.0,2.0,50.68,0.0,47.0,25.0,Center(C),Goal Line,Less Than 8 ft.,shot - 12,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,1.0
163.0,116.0,1.0,1.0,0.0,2.5,40.0,Right Side(R),Mid Range,16-24 ft.,shot - 2,shot - 3,MANU @ SAC,"38.567296, -121.456638",2005-06,0.0
113.0,179.0,4.0,2.0,0.0,6.5,41.0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 11,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,1.0
169.0,-2.0,54.32,2.0,0.0,27.0,28.0,Right Side(R),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,1.0
91.0,156.0,37.82,2.0,0.0,52.0,46.2,Center(C),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,0.0
134.0,93.0,0.0,2.0,27.964,19.0,36.0,Right Side(R),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ SAC,"38.567296, -121.456638",2005-06,0.0
47.0,477.0,0.0,2.0,47.804,0.0,67.0,Mid Ground(MG),Mid Ground Line,Back Court Shot,shot - 39,shot - 3,MANU @ SAC,"38.567296, -121.456638",2005-06,0.0
11.0,137.0,8.0,3.0,0.0,70.1,33.0,Center(C),Goal Line,Less Than 8 ft.,shot - 39,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,0.0
199.0,13.0,13.82,52.18,0.0,55.0,39.0,Right Side(R),Mid Range,16-24 ft.,shot - 36,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,0.0
0.0,236.0,0.0,3.0,61.464,1.0,44.0,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 39,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,0.0
11.0,247.0,6.932084497957428,43.68,0.0,36.6,27.2,Center(C),Penalty Spot,24+ ft.,shot - 39,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,0.0
-103.0,230.0,5.0,51.18,0.0,43.0,59.7,Left Side Center(LC),Penalty Spot,Less Than 8 ft.,shot - 39,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,0.0
-31.0,247.0,0.0,45.68,0.0,2.0,40.2,Center(C),Penalty Spot,24+ ft.,shot - 24,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,1.0
-10.0,99.0,2.0,5.0,0.0,5.0,29.0,Center(C),Goal Line,8-16 ft.,shot - 46,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,1.0
13.0,100.0,2.0,5.0,0.0,3.5,30.0,Center(C),Goal Line,8-16 ft.,shot - 4,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,0.0
-73.0,200.0,48.82,5.0,0.0,24.0,41.0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 11,shot - 3,MANU @ SAC,"38.567296, -121.456638",2000-01,1.0
0.0,184.0,10.0,1.0,0.0,5.0,30.2,Left Side Center(LC),Mid Range,16-24 ft.,shot - 49,shot - 3,MANU @ DEN,"39.739968, -104.954013",2000-01,1.0
188.0,177.0,9.0,28.68,0.0,33.6,45.0,Right Side Center(RC),Mid Range,24+ ft.,shot - 39,shot - 3,MANU @ DEN,"39.739968, -104.954013",2000-01,0.0
0.0,0.0,8.0,1.0,0.0,15.0,20.0,Center(C),Goal Area,Less Than 8 ft.,shot - 4,shot - 3,MANU @ DEN,"39.739968, -104.954013",2005-06,0.0
-128.0,137.0,4.0,1.0,0.0,22.0,29.0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 3,shot - 3,MANU @ DEN,"39.739968, -104.954013",2000-01,0.0
0.0,0.0,4.0,1.0,0.0,24.1,33.2,Center(C),Goal Area,Less Than 8 ft.,shot - 1,shot - 3,MANU @ DEN,"39.739968, -104.954013",2000-01,1.0
1.0,93.0,11.0,2.0,28.804,19.0,55.2,Center(C),Goal Line,8-16 ft.,shot - 39,shot - 3,MANU @ DEN,"39.739968, -104.954013",2000-01,0.0
115.0,160.0,6.0,36.68,0.0,51.0,39.0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 39,shot - 3,MANU @ DEN,"39.739968, -104.954013",2000-01,1.0
159.0,200.0,6.0,2.0,0.0,30.1,45.0,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 53,shot - 3,MANU @ DEN,"39.739968, -104.954013",2000-01,1.0
